event,event_utc,event_la,year,event_la_date,event_desc
Spring Equinox,2052-03-19T22:00:00Z,2052-03-19T22:00:00Z,2052,2052-03-19,Day and night are approximately equal.
Summer Solstice,2052-06-20T15:00:00Z,2052-06-20T15:00:00Z,2052,2052-06-20,The longest day of the year.
Autumn Equinox,2052-09-22T07:00:00Z,2052-09-22T07:00:00Z,2052,2052-09-22,Day and night are approximately equal.
Winter Solstice,2052-12-21T04:00:00Z,2052-12-21T04:00:00Z,2052,2052-12-20,The longest night of the year.
Spring Equinox,2053-03-20T04:00:00Z,2053-03-20T04:00:00Z,2053,2053-03-19,Day and night are approximately equal.
Summer Solstice,2053-06-20T21:00:00Z,2053-06-20T21:00:00Z,2053,2053-06-20,The longest day of the year.
Autumn Equinox,2053-09-22T13:00:00Z,2053-09-22T13:00:00Z,2053,2053-09-22,Day and night are approximately equal.
Winter Solstice,2053-12-21T10:00:00Z,2053-12-21T10:00:00Z,2053,2053-12-21,The longest night of the year.
Spring Equinox,2054-03-20T10:00:00Z,2054-03-20T10:00:00Z,2054,2054-03-20,Day and night are approximately equal.
Summer Solstice,2054-06-21T03:00:00Z,2054-06-21T03:00:00Z,2054,2054-06-20,The longest day of the year.
Autumn Equinox,2054-09-22T19:00:00Z,2054-09-22T19:00:00Z,2054,2054-09-22,Day and night are approximately equal.
Winter Solstice,2054-12-21T16:00:00Z,2054-12-21T16:00:00Z,2054,2054-12-21,The longest night of the year.
Spring Equinox,2055-03-20T15:00:00Z,2055-03-20T15:00:00Z,2055,2055-03-20,Day and night are approximately equal.
Summer Solstice,2055-06-21T09:00:00Z,2055-06-21T09:00:00Z,2055,2055-06-21,The longest day of the year.
Autumn Equinox,2055-09-23T01:00:00Z,2055-09-23T01:00:00Z,2055,2055-09-22,Day and night are approximately equal.
Winter Solstice,2055-12-21T22:00:00Z,2055-12-21T22:00:00Z,2055,2055-12-21,The longest night of the year.
Spring Equinox,2056-03-19T21:00:00Z,2056-03-19T21:00:00Z,2056,2056-03-19,Day and night are approximately equal.
Summer Solstice,2056-06-20T14:00:00Z,2056-06-20T14:00:00Z,2056,2056-06-20,The longest day of the year.
Autumn Equinox,2056-09-22T07:00:00Z,2056-09-22T07:00:00Z,2056,2056-09-22,Day and night are approximately equal.
Winter Solstice,2056-12-21T04:00:00Z,2056-12-21T04:00:00Z,2056,2056-12-20,The longest night of the year.
Spring Equinox,2057-03-20T03:00:00Z,2057-03-20T03:00:00Z,2057,2057-03-19,Day and night are approximately equal.
Summer Solstice,2057-06-20T20:00:00Z,2057-06-20T20:00:00Z,2057,2057-06-20,The longest day of the year.
Autumn Equinox,2057-09-22T12:00:00Z,2057-09-22T12:00:00Z,2057,2057-09-22,Day and night are approximately equal.
Winter Solstice,2057-12-21T10:00:00Z,2057-12-21T10:00:00Z,2057,2057-12-21,The longest night of the year.
Spring Equinox,2058-03-20T09:00:00Z,2058-03-20T09:00:00Z,2058,2058-03-20,Day and night are approximately equal.
Summer Solstice,2058-06-21T02:00:00Z,2058-06-21T02:00:00Z,2058,2058-06-20,The longest day of the year.
Autumn Equinox,2058-09-22T18:00:00Z,2058-09-22T18:00:00Z,2058,2058-09-22,Day and night are approximately equal.
Winter Solstice,2058-12-21T15:00:00Z,2058-12-21T15:00:00Z,2058,2058-12-21,The longest night of the year.
