"","year","shower_name","active_start","peak_date","active_end","active_date_label","peak_date_label","zhr","intensity"
"110",2009,"Draconids",2009-10-06,2009-10-08,2009-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"111",2009,"Eta Aquariids",2009-04-19,2009-05-06,2009-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"112",2009,"Geminids",2009-12-04,2009-12-14,2009-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"113",2009,"Leonids",2009-11-06,2009-11-17,2009-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"114",2009,"Lyrids",2009-04-15,2009-04-22,2009-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"115",2009,"Northern Taurids",2009-10-13,2009-11-12,2009-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"116",2009,"Orionids",2009-10-02,2009-10-22,2009-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"117",2009,"Perseids",2009-07-17,2009-08-12,2009-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"118",2009,"Quadrantids",2009-01-01,2009-01-03,2009-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"119",2009,"Southern Taurids",2009-09-23,2009-10-10,2009-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"120",2009,"Ursids",2009-12-17,2009-12-22,2009-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"121",2010,"Delta Aquariids",2010-07-12,2010-07-30,2010-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"122",2010,"Draconids",2010-10-06,2010-10-08,2010-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"123",2010,"Eta Aquariids",2010-04-19,2010-05-06,2010-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"124",2010,"Geminids",2010-12-04,2010-12-14,2010-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"125",2010,"Leonids",2010-11-06,2010-11-17,2010-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"126",2010,"Lyrids",2010-04-15,2010-04-22,2010-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"127",2010,"Northern Taurids",2010-10-13,2010-11-12,2010-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"128",2010,"Orionids",2010-10-02,2010-10-22,2010-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"129",2010,"Perseids",2010-07-17,2010-08-12,2010-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"130",2010,"Quadrantids",2010-01-01,2010-01-03,2010-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"131",2010,"Southern Taurids",2010-09-23,2010-10-10,2010-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"132",2010,"Ursids",2010-12-17,2010-12-22,2010-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"133",2011,"Delta Aquariids",2011-07-12,2011-07-30,2011-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"134",2011,"Draconids",2011-10-06,2011-10-08,2011-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"135",2011,"Eta Aquariids",2011-04-19,2011-05-06,2011-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"136",2011,"Geminids",2011-12-04,2011-12-14,2011-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"137",2011,"Leonids",2011-11-06,2011-11-17,2011-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"138",2011,"Lyrids",2011-04-15,2011-04-22,2011-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"139",2011,"Northern Taurids",2011-10-13,2011-11-12,2011-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"140",2011,"Orionids",2011-10-02,2011-10-22,2011-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"141",2011,"Perseids",2011-07-17,2011-08-12,2011-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"142",2011,"Quadrantids",2011-01-01,2011-01-03,2011-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"143",2011,"Southern Taurids",2011-09-23,2011-10-10,2011-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"144",2011,"Ursids",2011-12-17,2011-12-22,2011-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"145",2012,"Delta Aquariids",2012-07-12,2012-07-30,2012-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"146",2012,"Draconids",2012-10-06,2012-10-08,2012-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"147",2012,"Eta Aquariids",2012-04-19,2012-05-06,2012-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"148",2012,"Geminids",2012-12-04,2012-12-14,2012-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"149",2012,"Leonids",2012-11-06,2012-11-17,2012-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"150",2012,"Lyrids",2012-04-15,2012-04-22,2012-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"151",2012,"Northern Taurids",2012-10-13,2012-11-12,2012-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"152",2012,"Orionids",2012-10-02,2012-10-22,2012-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"153",2012,"Perseids",2012-07-17,2012-08-12,2012-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"154",2012,"Quadrantids",2012-01-01,2012-01-03,2012-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"155",2012,"Southern Taurids",2012-09-23,2012-10-10,2012-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"156",2012,"Ursids",2012-12-17,2012-12-22,2012-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"157",2013,"Delta Aquariids",2013-07-12,2013-07-30,2013-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"158",2013,"Draconids",2013-10-06,2013-10-08,2013-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"159",2013,"Eta Aquariids",2013-04-19,2013-05-06,2013-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"160",2013,"Geminids",2013-12-04,2013-12-14,2013-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
