catalog_number,date_la,time_la,delta_t_s,luna_num,saros_num,eclipse_type,qle,gamma,eclipse_mag,latitude,longitude,sun_alt_deg,path_width_km,central_duration_s,eclipse_type_long,eclipse_desc,distance_to_ca_km,eclipse_visibility_ca,central_duration_text
09670,2072-09-12,01:59:20,141,899,155,T,t-,0.9655,1.0558,70,102,14,732,193,Total,The Moon completely covers the Sun.,7680.54567922034,Not Visible in California,3m 13s
09671,2073-02-06,17:55:59,142,904,122,P,-t,1.1651,0.6768,70,115,0,NA,NA,Partial,The Moon partially covers the Sun.,7363.413359697477,Not Visible in California,NA
09672,2073-08-03,10:15:23,143,910,127,T,-t,-0.8763,1.0294,-43,-89,28,206,149,Total,The Moon completely covers the Sun.,9389.686785562044,Not Visible in California,2m 29s
09673,2074-01-26,22:44:15,144,916,132,A,-n,0.4251,0.9798,7,79,65,79,141,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",14782.852438257361,Not Visible in California,2m 21s
09674,2074-07-23,20:10:32,145,922,137,A,nn,-0.1242,0.9838,13,134,83,58,117,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",10569.194187592973,Not Visible in California,1m 57s
09675,2075-01-16,10:36:04,146,928,142,T,n-,-0.2799,1.0311,-37,-94,74,110,162,Total,The Moon completely covers the Sun.,8611.109391498605,Not Visible in California,2m 42s
09676,2075-07-12,23:05:44,147,934,147,A,p-,0.6583,0.9467,63,95,49,262,285,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",8506.093231341461,Not Visible in California,4m 45s
09677,2076-01-06,02:07:27,148,940,152,T,p-,-0.9373,1.0342,-87,-174,20,340,109,Total,The Moon completely covers the Sun.,13899.597737873786,Not Visible in California,1m 49s
09678,2076-06-01,10:31:22,149,945,119,P,-t,-1.3897,0.2897,-64,-51,0,NA,NA,Partial,The Moon partially covers the Sun.,12691.829532189959,Not Visible in California,NA
09679,2076-06-30,23:50:43,149,946,157,P,t-,1.4005,0.2746,67,-98,0,NA,NA,Partial,The Moon partially covers the Sun.,3624.724978232357,Partially Visible in California,NA
09680,2076-11-26,03:43:01,150,951,124,P,-t,1.1401,0.7315,64,40,0,NA,NA,Partial,The Moon partially covers the Sun.,8663.370233840415,Not Visible in California,NA
09681,2077-05-21,19:46:05,151,957,129,T,-p,-0.5725,1.029,-13,148,55,119,174,Total,The Moon completely covers the Sun.,11094.876550101882,Not Visible in California,2m 54s
09682,2077-11-15,09:07:56,152,963,134,A,-p,0.4705,0.9371,8,-71,62,262,474,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",5829.852659156965,Not Visible in California,7m 54s
09683,2078-05-11,10:56:55,153,969,139,T,n-,0.1838,1.0701,28,-94,79,232,340,Total,The Moon completely covers the Sun.,2568.4683973853575,Partially Visible in California,5m 40s
09684,2078-11-04,09:55:44,154,975,144,A,nn,-0.2285,0.9255,-28,-83,77,287,509,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",8146.261600949354,Not Visible in California,8m 29s
09685,2079-05-01,03:50:13,155,981,149,T,p-,0.9081,1.0512,66,-46,24,406,175,Total,The Moon completely covers the Sun.,5583.459220846886,Not Visible in California,2m 55s
09686,2079-10-24,11:11:21,156,987,154,A,t-,-0.9243,0.9484,-63,-161,22,495,219,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",11692.94816891176,Not Visible in California,3m 39s
09687,2080-03-21,05:20:15,157,992,121,P,-t,-1.0578,0.8734,-61,86,0,NA,NA,Partial,The Moon partially covers the Sun.,16787.24138041028,Not Visible in California,NA
09688,2080-09-13,09:38:09,158,998,126,P,-t,1.0723,0.8743,61,26,0,NA,NA,Partial,The Moon partially covers the Sun.,8698.998553060093,Not Visible in California,NA
09689,2081-03-10,08:23:31,159,1004,131,A,-p,-0.3653,0.9304,-22,-37,68,277,456,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",10814.331418447298,Not Visible in California,7m 36s
09690,2081-09-03,02:07:31,160,1010,136,T,-n,0.3378,1.072,25,54,70,247,333,Total,The Moon completely covers the Sun.,13111.10687515834,Not Visible in California,5m 33s
09691,2082-02-27,06:47:00,162,1016,141,A,p-,0.3361,0.9298,9,-47,70,277,492,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",7847.202492797258,Not Visible in California,8m 12s
09692,2082-08-23,18:16:21,163,1022,146,T,n-,-0.4004,1.0452,-10,152,66,163,241,Total,The Moon completely covers the Sun.,10546.20620642657,Not Visible in California,4m 1s
09693,2083-02-16,10:06:36,164,1028,151,P,t-,1.017,0.9433,62,-154,0,NA,NA,Partial,The Moon partially covers the Sun.,3674.6191390829326,Partially Visible in California,NA
09694,2083-07-14,17:14:23,165,1033,118,Pe,-t,1.5465,0.0168,64,-38,0,NA,NA,Partial,The Moon partially covers the Sun.,5982.946299054693,Partially Visible in California,NA
